"RSSI" "24 AF 81 ersten 5 min" "24 AF 81 zweiten 5 min" "24 AF 81 dritten 5 min"
"1" -10 NA NA NA
"2" -11 NA NA NA
"3" -12 NA NA NA
"4" -13 NA NA NA
"5" -14 NA NA NA
"6" -15 NA NA NA
"7" -16 NA NA NA
"8" -17 NA NA NA
"9" -18 NA NA NA
"10" -19 NA NA NA
"11" -20 NA NA NA
"12" -21 NA NA NA
"13" -22 NA NA NA
"14" -23 NA NA NA
"15" -24 NA NA NA
"16" -25 4 3 5
"17" -26 16 14 16
"18" -27 42 44 44
"19" -28 34 31 27
"20" -29 1 4 2
"21" -30 1 2 2
"22" -31 NA NA NA
"23" -32 NA NA NA
"24" -33 NA NA NA
"25" -34 NA NA NA
"26" -35 NA NA NA
"27" -36 NA NA NA
"28" -37 NA NA NA
"29" -38 NA NA NA
"30" -39 NA NA NA
"31" -40 NA NA NA
"32" -41 NA NA NA
"33" -42 NA NA NA
"34" -43 NA NA NA
"35" -44 NA NA NA
"36" -45 NA NA NA
"37" -46 NA NA NA
"38" -47 NA NA NA
"39" -48 NA NA NA
"40" -49 NA NA NA
"41" -50 NA NA NA
"42" -51 NA NA NA
"43" -52 NA NA NA
"44" -53 NA NA NA
"45" -54 NA NA NA
"46" -55 NA NA NA
"47" -56 NA NA NA
"48" -57 NA NA NA
"49" -58 NA NA NA
"50" -59 NA NA NA
"51" -60 NA NA NA
"52" -61 NA NA NA
"53" -62 NA NA NA
"54" -63 NA NA NA
"55" -64 NA NA NA
"56" -65 NA NA NA
"57" -66 NA NA NA
"58" -67 NA NA NA
"59" -68 NA NA NA
"60" -69 NA NA NA
"61" -70 NA NA NA
"62" -71 NA NA NA
"63" -72 NA NA NA
"64" -73 NA NA NA
"65" -74 NA NA NA
"66" -75 NA NA NA
"67" -76 NA NA NA
"68" -77 NA NA NA
"69" -78 NA NA NA
"70" -79 NA NA NA
"71" -80 NA NA NA
"72" -81 NA NA NA
"73" -82 NA NA NA
"74" -83 NA NA NA
"75" -84 NA NA NA
"76" -85 NA NA NA
"77" -86 NA NA NA
"78" -87 NA NA NA
"79" -88 NA NA NA
"80" -89 NA NA NA
"81" -90 NA NA NA
"82" -91 NA NA NA
"83" -92 NA NA NA
"84" -93 NA NA NA
"85" -94 NA NA NA
"86" -95 NA NA NA
"87" -96 NA NA NA
"88" -97 NA NA NA
"89" -98 NA NA NA
"90" -99 NA NA NA
